system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,pca,2000,3,3,3,6,0.3291273348635495,13,0.18000860414302577,4,0.4032954607967592,3,0.4046445152828937,2,0.5342702832548171,0.4046445152828937
alanine,short,pca,2000,4,3,3,7,0.3065924621600134,15,0.1567624808157576,4,0.4129318204959153,3,0.41157358818134493,2,0.5477217881890148,0.41157358818134493
alanine,short,pca,2000,5,3,3,7,0.31084980037783305,15,0.16346718423159534,4,0.41417316255798076,3,0.4089996171052229,2,0.5522376636121138,0.4089996171052229
alanine,short,pca,2000,6,3,3,8,0.20524927633121107,12,0.15191935895106348,4,0.40465612848569465,3,0.39983013755899477,2,0.6495440348951448,0.39983013755899477
alanine,short,pca,2000,7,3,3,7,0.3001640477180107,13,0.1754455915327129,4,0.4050154725638909,3,0.40628904345910105,2,0.5149951027604971,0.40628904345910105
alanine,short,tica,2000,0,3,3,7,0.6740731001857099,13,0.36395067391104774,4,0.91566551462771,4,0.91566551462771,3,0.9921422393579816,0.9921422393579816
alanine,short,tica,2000,1,3,3,6,0.8753363563115673,9,0.4953254463729563,4,0.9306195260370651,4,0.9306195260370651,3,0.9820251468187674,0.9820251468187674
alanine,short,tica,2000,2,3,3,7,0.6218437194773723,13,0.3340172676867074,4,0.9162837594153254,4,0.9162837594153254,3,0.992192613345758,0.992192613345758
alanine,short,tica,2000,3,3,3,6,0.786040953808845,10,0.5043751925641176,4,0.9153723049528838,4,0.9153723049528838,3,0.992174578635565,0.992174578635565
alanine,short,tica,2000,4,3,3,6,0.8223329527168293,7,0.6249109101967414,4,0.9154587642079515,4,0.9154587642079515,3,0.9922364339389295,0.9922364339389295
alanine,short,tica,2000,5,3,3,6,0.8413983426201153,8,0.6099346315525094,4,0.9147415118807407,4,0.9147415118807407,3,0.9909421097952195,0.9909421097952195
alanine,short,tica,2000,6,3,3,6,0.5960578421486454,7,0.5642506089235834,4,0.9442444842408744,4,0.9442444842408744,3,0.9844156591799603,0.9844156591799603
alanine,short,tica,2000,7,3,3,6,0.7774366928355128,11,0.4362744602855183,4,0.9122867679028129,4,0.9122867679028129,3,0.9882321822946212,0.9882321822946212
alanine,short,vae,2000,0,3,3,8,0.4642480045972069,15,0.2601457121470898,1,0.0,3,0.4224503079267298,2,0.4694861557094764,0.4224503079267298
alanine,short,vae,2000,1,3,3,6,0.6095652020515286,11,0.3589804467444409,1,0.0,3,0.31442733882757246,3,0.31442733882757246,0.31442733882757246
alanine,short,vae,2000,2,3,3,6,0.5498652196713216,14,0.2698135064358931,1,0.0,3,0.3834477034840419,2,0.016991147735425864,0.3834477034840419
alanine,short,vae,2000,3,3,3,6,0.5462927585373093,13,0.3169977426400784,1,0.0,3,0.3630426698131096,2,0.5058529335060598,0.3630426698131096
alanine,short,vae,2000,4,3,3,6,0.6325152269070291,14,0.2873934571491799,1,0.0,3,0.4825756512698131,3,0.4825756512698131,0.4825756512698131
alanine,short,vae,2000,5,3,3,7,0.5343010555214353,7,0.5343010555214353,1,0.0,2,0.5501577175822339,2,0.5501577175822339,0.39696572046613626
alanine,short,vae,2000,6,3,3,6,0.43227505451129594,12,0.2885542304417282,1,0.0,3,0.3264776478666829,3,0.3264776478666829,0.3264776478666829
alanine,short,vae,2000,7,3,3,6,0.6565988308862819,13,0.2924383775161546,1,0.0,3,0.4433372304532623,2,0.47529053821015665,0.4433372304532623
alanine,short,pca,4000,0,3,3,7,0.2502187496050335,11,0.17820540740786575,4,0.4416879684111637,3,0.45553130649369417,2,0.7097705741383027,0.45553130649369417
alanine,short,pca,4000,1,3,3,7,0.2602075528363337,12,0.16774319379779037,4,0.4312860095613332,3,0.44514515955465395,2,0.7084525478531098,0.44514515955465395
alanine,short,pca,4000,2,3,3,7,0.25087047016547664,13,0.14753246519325305,4,0.4409282593704588,3,0.4543856086292176,2,0.7077564063377844,0.4543856086292176
alanine,short,pca,4000,3,3,3,7,0.2500841926576812,12,0.15620876059680147,4,0.43986696461365216,3,0.45513790355568284,2,0.7029542037082341,0.45513790355568284
alanine,short,pca,4000,4,3,3,7,0.25411509907993823,13,0.14990816680369395,4,0.43350756918357775,3,0.4502845388877273,2,0.6980239348885822,0.4502845388877273
alanine,short,pca,4000,5,3,3,7,0.25666942142059335,12,0.16189731650647476,4,0.42878707433340013,3,0.4472118166409409,2,0.6950694415309059,0.4472118166409409
alanine,short,pca,4000,6,3,3,7,0.26039767174175316,12,0.1551234393932645,4,0.4340321885904742,3,0.4481947489725534,2,0.7103123450263432,0.4481947489725534
alanine,short,pca,4000,7,3,3,7,0.25155016277795816,13,0.14829032919334703,4,0.4397837870163271,3,0.45123546158100053,2,0.7108550239236073,0.45123546158100053
alanine,short,tica,4000,0,3,3,8,0.5378022024934,12,0.3348991911228278,5,0.9299342740526663,4,0.9633004439659205,3,0.9810618030263011,0.9810618030263011
alanine,short,tica,4000,1,3,3,7,0.5890954878235005,12,0.31520346090064605,5,0.9281686546005975,4,0.9632639623848076,3,0.9810438666521089,0.9810438666521089
alanine,short,tica,4000,2,3,3,8,0.5398891014642737,12,0.34620055244509174,5,0.9297313207207016,4,0.9632411431806529,3,0.9810326432929999,0.9810326432929999
alanine,short,tica,4000,3,3,3,8,0.5470781435801048,12,0.3516885093796774,5,0.9264415780872761,4,0.960679945699537,3,0.9785270000813321,0.9785270000813321
alanine,short,tica,4000,4,3,3,8,0.551300013903698,15,0.29004868929180827,5,0.9252783503080839,4,0.9605583759556706,3,0.97846360271595,0.97846360271595
alanine,short,tica,4000,5,3,3,8,0.5467774034231137,13,0.32997548456891157,5,0.9242100411855703,4,0.9596676461213797,3,0.9776069680147873,0.9776069680147873
alanine,short,tica,4000,6,3,3,8,0.5404993047142443,13,0.3177138846001194,5,0.9281686546005975,4,0.9632639623848076,3,0.9810438666521089,0.9810438666521089
alanine,short,tica,4000,7,3,3,8,0.5171852605677784,14,0.31554959707907526,5,0.9295228932847623,4,0.9617187550552216,3,0.9794572079208915,0.9794572079208915
alanine,short,vae,4000,0,3,3,7,0.37148992459805136,15,0.1843004286196257,1,0.0,3,0.3087993146718393,3,0.3087993146718393,0.3087993146718393
alanine,short,vae,4000,1,3,3,7,0.6079841512064059,14,0.22960570780289397,1,0.0,3,0.3851799452279554,3,0.3851799452279554,0.3851799452279554
