potential,mode,method,n_frames,stride,n_trajs,seed,k_true,k_visited,min_basin_frac,k_bic,ari_bic,nmi_bic,hit_ceiling_bic,k_aic,ari_aic,nmi_aic,hit_ceiling_aic,k_icl,ari_icl,nmi_icl,hit_ceiling_icl,k_silhouette,ari_silhouette,nmi_silhouette,hit_ceiling_silhouette,k_elbow_gap,ari_elbow_gap,nmi_elbow_gap,hit_ceiling_elbow_gap,ari_oracle_k,nmi_oracle_k,pop_l1_bic,bic_curve,runtime_s
mueller_brown,short,pca,500,10,1,0,3,1,0.0,2,0.0,0.0,0,9,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.8640000000000001,"{""1"": 2540.0191704187414, ""2"": 2510.03338521695, ""3"": 2522.601647937308, ""4"": 2547.410975137529, ""5"": 2569.9909960421037, ""6"": 2584.9490413344656, ""7"": 2613.587149455077, ""8"": 2641.2674360046185, ""9"": 2660.182922463604, ""10"": 2693.0400215907753, ""11"": 2735.779199889106, ""12"": 2741.7234753354182, ""13"": 2786.2197733508906, ""14"": 2814.6460481897516, ""15"": 2837.9474834513176}",1.4756379127502441
mueller_brown,short,pca,500,10,1,1,3,2,0.0,8,0.17787847366000714,0.3825607987261796,0,15,0.13018900733053812,0.35219009881319485,1,6,0.22955708100243177,0.41593750314946076,0,2,0.5853075396104912,0.5577637487754797,0,2,0.5853075396104912,0.5577637487754797,0,0.43229041444099375,0.5375028065701248,1.1440000000000001,"{""1"": 3346.701198379191, ""2"": 2381.521958251139, ""3"": 2153.332675693093, ""4"": 1991.0083191320566, ""5"": 1903.9863038779024, ""6"": 1883.8813942393929, ""7"": 1848.910560729317, ""8"": 1841.8538067958953, ""9"": 1847.0098988844882, ""10"": 1882.9516871828332, ""11"": 1886.741694495917, ""12"": 1903.9642348251039, ""13"": 1942.6285403134889, ""14"": 1960.4874658096628, ""15"": 1959.1335119776672}",1.9151122570037842
mueller_brown,short,pca,500,10,1,2,3,2,0.0,7,0.05356045565310302,0.2014699955471492,0,14,0.025974824175951903,0.15310518299777184,0,2,0.5271564267730829,0.42799718008835785,0,2,0.5271564267730829,0.42799718008835785,0,3,0.16832436960902564,0.332054297783199,0,0.16832436960902564,0.332054297783199,1.34,"{""1"": 3300.2683989833763, ""2"": 2497.472071962885, ""3"": 2376.8665461574014, ""4"": 2330.5147888703546, ""5"": 2321.9815372942367, ""6"": 2312.5836477089238, ""7"": 2307.7720608606096, ""8"": 2325.380310225647, ""9"": 2349.8635895082152, ""10"": 2363.8403595602736, ""11"": 2386.948175201137, ""12"": 2423.5508777303103, ""13"": 2446.712103057958, ""14"": 2461.826199323144, ""15"": 2504.6476115659957}",1.6444506645202637
mueller_brown,short,pca,500,10,1,3,3,2,0.0,2,0.0029871533343214995,0.0060428868038408644,0,9,0.0006591452063323678,0.005383719527962929,0,1,0.0,0.0,0,2,0.0029871533343214995,0.0060428868038408644,0,2,0.0029871533343214995,0.0060428868038408644,0,0.0019084536126999895,0.005909171483193541,0.724,"{""1"": 2499.125244786511, ""2"": 2449.712386223274, ""3"": 2460.139061858492, ""4"": 2474.7690530600667, ""5"": 2504.236692276462, ""6"": 2534.4678675598266, ""7"": 2551.259133289378, ""8"": 2574.884985055343, ""9"": 2599.62197040815, ""10"": 2630.5868034798727, ""11"": 2657.4554488678905, ""12"": 2687.0015799969738, ""13"": 2724.6226369874944, ""14"": 2740.7241434577954, ""15"": 2775.6573338362386}",1.4155793190002441
mueller_brown,short,pca,500,10,1,4,3,3,0.018,6,0.13051640230541997,0.32879637056070954,0,13,0.057300670108335214,0.26827527911224314,0,2,0.9412702881874122,0.8377954244131575,0,2,0.9412702881874122,0.8377954244131575,0,2,0.9412702881874122,0.8377954244131575,0,0.30142291842793845,0.48616548522339,1.036,"{""1"": 3382.64324273987, ""2"": 2402.2552665663598, ""3"": 2305.1455391514523, ""4"": 2292.0235258530874, ""5"": 2246.6693185325785, ""6"": 2202.9906407056624, ""7"": 2216.3555232238123, ""8"": 2230.71430934404, ""9"": 2253.742509451343, ""10"": 2282.2210545846683, ""11"": 2312.927639309508, ""12"": 2324.0851195482346, ""13"": 2346.8685457965394, ""14"": 2374.7680304132327, ""15"": 2403.9900633609377}",1.751439094543457
mueller_brown,short,pca,500,10,1,5,3,1,0.0,1,1.0,1.0,0,8,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,"{""1"": 2417.903519880309, ""2"": 2428.113169015135, ""3"": 2452.432748814895, ""4"": 2461.891099011511, ""5"": 2462.5827070971936, ""6"": 2490.7585172947447, ""7"": 2525.105179853941, ""8"": 2538.3691722300746, ""9"": 2580.8358629191684, ""10"": 2593.962010770412, ""11"": 2627.5954893402522, ""12"": 2657.2310605673315, ""13"": 2676.2072077158346, ""14"": 2702.8107437768804, ""15"": 2734.751176414445}",1.6106219291687012
mueller_brown,short,pca,500,10,1,6,3,1,0.0,2,0.0,0.0,0,4,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.992,"{""1"": 2395.7571218754833, ""2"": 2352.3943243172043, ""3"": 2377.4612048345984, ""4"": 2373.7301053818323, ""5"": 2406.178401352351, ""6"": 2438.6870468028237, ""7"": 2461.7856016093624, ""8"": 2490.8975235339853, ""9"": 2512.0397591575843, ""10"": 2558.3962586073394, ""11"": 2587.7552446554446, ""12"": 2610.247472012958, ""13"": 2647.097226530634, ""14"": 2670.0121637016077, ""15"": 2687.664048545494}",1.5946834087371826
mueller_brown,short,pca,500,10,1,7,3,2,0.0,6,0.01062858469354092,0.05005310020840669,0,15,0.002972145757399772,0.030348533022131426,1,2,0.0797578764402818,0.07055516399580979,0,2,0.0797578764402818,0.07055516399580979,0,2,0.0797578764402818,0.07055516399580979,0,0.023371788182194972,0.05250031540196448,1.272,"{""1"": 2671.2213629328744, ""2"": 2394.4326351816535, ""3"": 2329.4785832317248, ""4"": 2332.7523661575106, ""5"": 2324.825466232337, ""6"": 2323.941163421335, ""7"": 2337.0242484682585, ""8"": 2375.3381881585115, ""9"": 2381.1580975775246, ""10"": 2404.233913349, ""11"": 2424.0984933411355, ""12"": 2460.1172355173717, ""13"": 2482.845772652005, ""14"": 2503.8338117081084, ""15"": 2524.9470310109737}",1.59787917137146
mueller_brown,short,pca,500,10,1,8,3,3,0.116,9,0.287821058715972,0.5617032504505108,0,15,0.20928388806312537,0.5027918221873583,1,5,0.46137122919484813,0.6898877775373418,0,2,0.9021111364960117,0.8561066431132552,0,2,0.9021111364960117,0.8561066431132552,0,0.5507918203979966,0.6773938447507433,0.8360000000000001,"{""1"": 3848.377556300396, ""2"": 2327.787663955234, ""3"": 2094.3595930256033, ""4"": 2004.633661683108, ""5"": 1929.7221221131074, ""6"": 1923.9105397545661, ""7"": 1913.1543499286697, ""8"": 1941.563263988355, ""9"": 1903.301458632724, ""10"": 1924.0300644740792, ""11"": 1950.093473272831, ""12"": 1964.4965523584608, ""13"": 1972.3668574410608, ""14"": 1990.0227986394093, ""15"": 1997.2422533794172}",1.7666616439819336
mueller_brown,short,pca,500,10,1,9,3,3,0.164,7,0.509615425994519,0.6710742745881733,0,15,0.2846016392962561,0.5526393436072151,1,4,0.7588370017282859,0.800296850474109,0,3,0.8918966186790273,0.8772100194552006,0,2,0.7220965010467758,0.7951721587305686,0,0.8918966186790273,0.8772100194552006,0.716,"{""1"": 4050.3672704178352, ""2"": 2368.0767372099003, ""3"": 2051.4354345804554, ""4"": 1935.8369021028336, ""5"": 1854.0151541194389, ""6"": 1842.7429215622187, ""7"": 1834.8803531694543, ""8"": 1835.4190735635136, ""9"": 1857.3346429274197, ""10"": 1855.1695703659752, ""11"": 1840.7602867247683, ""12"": 1843.3872740732133, ""13"": 1866.3181024374708, ""14"": 1882.6377793666825, ""15"": 1900.9759978200163}",1.948829174041748
mueller_brown,short,pca,500,10,1,10,3,3,0.152,9,0.3868971935274101,0.6325510885721964,0,14,0.2770662874695506,0.5508497361304198,0,4,0.6483670917524297,0.7837740305485023,0,2,0.6740664447228845,0.7686094748337776,0,2,0.6740664447228845,0.7686094748337776,0,0.7767839589692928,0.8062707321555219,0.904,"{""1"": 4001.868408158593, ""2"": 2437.7983755690348, ""3"": 2027.724981835152, ""4"": 1789.4699720601163, ""5"": 1735.9257093682397, ""6"": 1687.0548291481193, ""7"": 1684.0688499349358, ""8"": 1690.2404652384034, ""9"": 1658.733428442609, ""10"": 1658.824977526856, ""11"": 1679.1436549917223, ""12"": 1696.2230093519393, ""13"": 1725.2980274826914, ""14"": 1733.6148270439796, ""15"": 1777.951831192749}",1.7811214923858643
mueller_brown,short,pca,500,10,1,11,3,2,0.0,7,0.022327493103646047,0.08916056427881842,0,10,0.023764150631748016,0.11952677095907832,0,2,0.23873740143414893,0.20294137853658456,0,2,0.23873740143414893,0.20294137853658456,0,2,0.23873740143414893,0.20294137853658456,0,0.10950840517003732,0.16514452234760246,1.352,"{""1"": 3056.377547632002, ""2"": 2274.1661262837024, ""3"": 2244.3062238418984, ""4"": 2178.4317115076965, ""5"": 2225.768734339559, ""6"": 2179.1061334707874, ""7"": 2156.828526764024, ""8"": 2184.849049718041, ""9"": 2204.6584284037085, ""10"": 2218.525708815343, ""11"": 2247.290516598395, ""12"": 2289.356449378087, ""13"": 2310.6392255013957, ""14"": 2325.615960975752, ""15"": 2355.4110774658543}",1.9702463150024414
mueller_brown,short,pca,500,10,1,12,3,1,0.0,2,0.0,0.0,0,4,0.0,0.0,0,1,1.0,1.0,0,2,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.8600000000000001,"{""1"": 2425.3611451943434, ""2"": 2401.6472247500824, ""3"": 2418.141137927027, ""4"": 2436.8490525065185, ""5"": 2465.904694211761, ""6"": 2499.2103607543236, ""7"": 2529.906185769033, ""8"": 2553.329957169287, ""9"": 2568.255466452474, ""10"": 2610.4722908961417, ""11"": 2638.5944444653032, ""12"": 2666.699096515872, ""13"": 2688.605410750904, ""14"": 2698.9170021686787, ""15"": 2734.519875588836}",1.402308702468872
