system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,pca,250,3,3,2,4,0.6026419872962709,10,0.28560890310347525,3,0.7062379950382385,3,0.7062379950382385,2,0.9367686024430397,0.7062379950382385
alanine,short,pca,250,4,3,2,3,0.2260619767565734,12,0.03801791889382672,3,0.2260619767565734,3,0.2260619767565734,2,-0.06097705434064723,0.2260619767565734
alanine,short,pca,250,5,3,2,3,0.0988097068382284,6,0.036812886515215644,3,0.0988097068382284,2,-0.0272453659034354,2,-0.0272453659034354,0.0988097068382284
alanine,short,pca,250,6,3,2,4,0.09808560606654455,8,0.05002131485959263,3,0.20139144011172488,3,0.20139144011172488,2,-0.05863986837476272,0.20139144011172488
alanine,short,pca,250,7,3,3,3,0.6027260829092389,11,0.16387719371883439,3,0.6027260829092389,3,0.6027260829092389,3,0.6027260829092389,0.6027260829092389
alanine,short,tica,250,0,3,2,1,0.0,1,0.0,1,0.0,12,-0.003395076508447194,2,-0.03147031520343795,-0.011091004908029995
alanine,short,tica,250,1,3,2,2,0.9513342084835766,2,0.9513342084835766,2,0.9513342084835766,2,0.9513342084835766,2,0.9513342084835766,0.5204926301342024
alanine,short,tica,250,2,3,2,2,0.777853579930484,7,0.1834716478216965,2,0.777853579930484,2,0.777853579930484,2,0.777853579930484,0.47600655981347867
alanine,short,tica,250,3,3,2,3,0.8741123418860919,3,0.8741123418860919,2,0.9681276941574657,2,0.9681276941574657,2,0.9681276941574657,0.8741123418860919
alanine,short,tica,250,4,3,2,1,0.0,2,0.11670087605559051,1,0.0,12,0.01307879712719841,3,0.03974726021795251,0.03974726021795251
alanine,short,tica,250,5,3,2,1,0.0,1,0.0,1,0.0,8,-0.0008542061885938499,2,-0.005523003411613637,0.011982957657854384
alanine,short,tica,250,6,3,2,1,0.0,3,0.021178272050502097,1,0.0,8,0.01300600373599396,2,-0.0034577629482503616,0.021178272050502097
alanine,short,tica,250,7,3,3,2,0.9571913136433298,3,0.8552412429185112,2,0.9571913136433298,2,0.9571913136433298,2,0.9571913136433298,0.8552412429185112
alanine,short,vae,250,0,3,2,1,0.0,1,0.0,1,0.0,3,0.003581216181605746,3,0.003581216181605746,0.003581216181605746
alanine,short,vae,250,1,3,2,1,0.0,3,0.4366520020047892,1,0.0,3,0.4366520020047892,3,0.4366520020047892,0.4366520020047892
alanine,short,vae,250,2,3,2,1,0.0,1,0.0,1,0.0,7,0.16416111950963883,2,0.40546584639260363,0.4704220575941635
alanine,short,vae,250,3,3,2,1,0.0,1,0.0,1,0.0,3,0.49163778594184715,2,0.9367701908778431,0.49163778594184715
alanine,short,vae,250,4,3,2,1,0.0,1,0.0,1,0.0,5,0.06801766045151016,3,0.02538374554920646,0.02538374554920646
