system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,pca,250,1,3,2,4,0.5131231355243822,15,0.12813871834567667,4,0.5131231355243822,3,0.5216244653705748,3,0.5216244653705748,0.5216244653705748
alanine,short,pca,250,2,3,2,4,0.23022982265653275,7,0.12537139553501894,3,0.4555992848129411,3,0.4555992848129411,3,0.4555992848129411,0.4555992848129411
alanine,short,pca,250,3,3,2,5,0.23069874719113015,11,0.10924216769689948,3,0.3721856248039424,3,0.3721856248039424,3,0.3721856248039424,0.3721856248039424
alanine,short,pca,250,4,3,2,3,0.24971664288464984,7,0.10428692702278311,3,0.24971664288464984,3,0.24971664288464984,2,-0.028461214456202807,0.24971664288464984
alanine,short,pca,250,5,3,2,3,0.6113669349156459,11,0.19961153061890718,3,0.6113669349156459,3,0.6113669349156459,2,0.9212540996118702,0.6113669349156459
alanine,short,pca,250,6,3,2,4,0.07011831235733938,4,0.07011831235733938,3,0.10846543316336381,2,-0.038127595318988294,2,-0.038127595318988294,0.10846543316336381
alanine,short,pca,250,7,3,2,3,0.29534455778934976,5,0.13914260308751664,3,0.29534455778934976,3,0.29534455778934976,2,-0.007368061472724518,0.29534455778934976
alanine,short,tica,250,0,3,3,2,0.8931896539410241,10,0.2493271705168142,2,0.8931896539410241,4,0.49413573035618036,2,0.8931896539410241,0.6322392723765439
alanine,short,tica,250,1,3,2,2,0.9031393734945758,2,0.9031393734945758,2,0.9031393734945758,2,0.9031393734945758,3,0.6994827256595036,0.6994827256595036
alanine,short,tica,250,2,3,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,0.9737215427803952
alanine,short,tica,250,3,3,2,2,0.980914328078517,13,0.07564075016404988,2,0.980914328078517,2,0.980914328078517,3,0.432058869234712,0.432058869234712
alanine,short,tica,250,4,3,2,2,1.0,2,1.0,2,1.0,2,1.0,3,0.26127493641575333,0.26127493641575333
alanine,short,tica,250,5,3,2,2,0.90580943867188,14,0.15076070243424852,2,0.90580943867188,4,0.49366524686905766,2,0.90580943867188,0.6346194039727914
alanine,short,tica,250,6,3,2,1,0.0,1,0.0,1,0.0,6,0.017929969523399102,3,0.02267352130275129,0.02267352130275129
alanine,short,tica,250,7,3,2,1,0.0,1,0.0,1,0.0,3,0.05473570300295845,3,0.05473570300295845,0.05473570300295845
alanine,short,vae,250,0,3,3,1,0.0,2,0.9242878936219553,1,0.0,2,0.9242878936219553,2,0.9242878936219553,0.5478018855748811
alanine,short,vae,250,1,3,2,1,0.0,1,0.0,1,0.0,7,0.23508230830871354,3,0.5109586107147721,0.5109586107147721
alanine,short,vae,250,2,3,2,1,0.0,4,0.28528979733695314,1,0.0,15,0.05744184601794147,2,-0.0025560592134466205,0.017484432073858792
alanine,short,vae,250,3,3,2,1,0.0,3,0.3250513181945414,1,0.0,2,0.06270287829042774,2,0.06270287829042774,0.3250513181945414
alanine,short,vae,250,4,3,2,1,0.0,1,0.0,1,0.0,2,-0.03189222903866222,2,-0.03189222903866222,0.14824245868066072
alanine,short,vae,250,5,3,2,1,0.0,1,0.0,1,0.0,4,0.3294425807778119,2,0.08734395258998165,0.43894433043413605
alanine,short,vae,250,6,3,2,1,0.0,1,0.0,1,0.0,2,-0.0005463811561718775,2,-0.0005463811561718775,0.04680985208336633
alanine,short,vae,250,7,3,2,1,0.0,1,0.0,1,0.0,3,0.1422340850368115,2,0.17982075476076656,0.1422340850368115
alanine,short,pca,500,0,3,3,4,0.5926712290375074,10,0.23274404775706567,4,0.5926712290375074,3,0.6540135635991514,2,0.9131034942628131,0.6540135635991514
alanine,short,pca,500,1,3,2,5,0.24516851921096916,9,0.15624968482988266,3,0.490490122664153,3,0.490490122664153,3,0.490490122664153,0.490490122664153
alanine,short,pca,500,2,3,2,4,0.21055087401149203,10,0.08362652923738977,3,0.4183976301554321,3,0.4183976301554321,3,0.4183976301554321,0.4183976301554321
alanine,short,pca,500,3,3,2,5,0.20686471392947553,8,0.1088147648071144,3,0.3583735704504034,3,0.3583735704504034,3,0.3583735704504034,0.3583735704504034
alanine,short,pca,500,4,3,2,3,0.21026642284657493,9,0.04387186332681493,3,0.21026642284657493,3,0.21026642284657493,2,-0.04953514526456429,0.21026642284657493
alanine,short,pca,500,5,3,2,4,0.4821894149364061,8,0.21429976132114706,3,0.5372519287577652,3,0.5372519287577652,3,0.5372519287577652,0.5372519287577652
alanine,short,pca,500,6,3,2,4,0.33135226962512465,8,0.19859996970969873,3,0.40685136335303573,3,0.40685136335303573,3,0.40685136335303573,0.40685136335303573
alanine,short,pca,500,7,3,2,3,0.41684926533660654,7,0.1319074732710552,3,0.41684926533660654,3,0.41684926533660654,3,0.41684926533660654,0.41684926533660654
alanine,short,tica,500,0,3,3,3,0.9305658988925725,3,0.9305658988925725,2,0.9910213407733682,2,0.9910213407733682,2,0.9910213407733682,0.9305658988925725
alanine,short,tica,500,1,3,2,2,1.0,2,1.0,2,1.0,2,1.0,3,0.422982605054944,0.422982605054944
alanine,short,tica,500,2,3,2,2,1.0,3,0.3240047359016578,2,1.0,2,1.0,2,1.0,0.3240047359016578
alanine,short,tica,500,3,3,2,2,0.9682383091817199,2,0.9682383091817199,2,0.9682383091817199,2,0.9682383091817199,3,0.35725394472582656,0.35725394472582656
alanine,short,tica,500,4,3,2,2,0.9808255698523345,2,0.9808255698523345,2,0.9808255698523345,2,0.9808255698523345,3,0.18856989538611496,0.18856989538611496
alanine,short,tica,500,5,3,2,2,0.9441244002358861,4,0.4575450723059132,2,0.9441244002358861,2,0.9441244002358861,2,0.9441244002358861,0.5398534699576376
alanine,short,tica,500,6,3,2,3,0.9077699873232652,4,0.421561942938296,2,0.9142418624292306,2,0.9142418624292306,2,0.9142418624292306,0.9077699873232652
alanine,short,tica,500,7,3,2,2,0.9436745464470481,5,0.22790454443009883,2,0.9436745464470481,2,0.9436745464470481,2,0.9436745464470481,0.35857700339376186
alanine,short,vae,500,0,3,3,1,0.0,2,0.8752840085871008,1,0.0,3,0.5004563695154791,2,0.8752840085871008,0.5004563695154791
