potential,mode,method,n_frames,stride,n_trajs,seed,k_true,k_visited,min_basin_frac,k_bic,ari_bic,nmi_bic,hit_ceiling_bic,k_aic,ari_aic,nmi_aic,hit_ceiling_aic,k_icl,ari_icl,nmi_icl,hit_ceiling_icl,k_silhouette,ari_silhouette,nmi_silhouette,hit_ceiling_silhouette,k_elbow_gap,ari_elbow_gap,nmi_elbow_gap,hit_ceiling_elbow_gap,ari_oracle_k,nmi_oracle_k,pop_l1_bic,bic_curve,runtime_s
prinz1d,short,tica,250,10,1,3,4,4,0.04,2,0.4618145398561286,0.6211333086167472,0,7,0.5478539742393138,0.5448800098635872,0,2,0.4618145398561286,0.6211333086167472,0,2,0.4618145398561286,0.6211333086167472,0,2,0.4618145398561286,0.6211333086167472,0,0.594045909740296,0.6032417026398543,0.5760000000000001,"{""1"": 1451.943866255443, ""2"": 1260.523220038881, ""3"": 1287.1154950428597, ""4"": 1262.5518049836546, ""5"": 1270.1715087196405, ""6"": 1293.4624686965708, ""7"": 1311.8178869620199, ""8"": 1336.5835165225653, ""9"": 1363.0438918692303, ""10"": 1385.4220225714184, ""11"": 1404.5519830092721, ""12"": 1425.4123518844256, ""13"": 1460.620047523364, ""14"": 1479.7321169212935, ""15"": 1490.9783810301954}",1.3104298114776611
prinz1d,short,tica,250,10,1,4,4,4,0.008,3,0.9005844904887473,0.8474565979632587,0,3,0.9005844904887473,0.8474565979632587,0,3,0.9005844904887473,0.8474565979632587,0,2,0.26114039341324796,0.4616075550435647,0,3,0.9005844904887473,0.8474565979632587,0,0.7931152717315798,0.7639493652182573,0.03200000000000002,"{""1"": 1476.528718557367, ""2"": 1230.3774536825815, ""3"": 1169.4306701165212, ""4"": 1193.470480670522, ""5"": 1214.727223616589, ""6"": 1234.6790641613693, ""7"": 1256.3430071750222, ""8"": 1283.3398155347631, ""9"": 1314.7531858341908, ""10"": 1324.3192805806366, ""11"": 1343.4289008465958, ""12"": 1363.6698500121176, ""13"": 1382.6618428223178, ""14"": 1423.8930098492199, ""15"": 1438.7975885019732}",0.956714391708374
prinz1d,short,tica,250,10,1,5,4,4,0.088,2,0.4138532451481349,0.6039350042079282,0,4,0.32817740201900764,0.5516464220242264,0,2,0.4138532451481349,0.6039350042079282,0,2,0.4138532451481349,0.6039350042079282,0,2,0.4138532451481349,0.6039350042079282,0,0.32817740201900764,0.5516464220242264,0.648,"{""1"": 1465.0528371335604, ""2"": 931.1952794459945, ""3"": 953.417575321772, ""4"": 947.4493772130359, ""5"": 976.6857781895212, ""6"": 998.419674153108, ""7"": 1026.6542989396382, ""8"": 1046.6596678620715, ""9"": 1076.4427146257729, ""10"": 1106.1635841702814, ""11"": 1132.296341592237, ""12"": 1132.61421748728, ""13"": 1148.9025900996742, ""14"": 1169.1872818617696, ""15"": 1200.1017226838585}",0.9529452323913574
prinz1d,short,tica,250,10,1,6,4,2,0.0,1,0.0,0.0,0,13,0.01614477043680555,0.058437040748433144,0,1,0.0,0.0,0,3,0.09441802557447297,0.08905689120295998,0,3,0.09441802557447297,0.08905689120295998,0,0.10019110596809326,0.09812848100346687,0.8320000000000001,"{""1"": 1449.6393614475376, ""2"": 1477.5242105734603, ""3"": 1500.5290550654163, ""4"": 1525.51149993839, ""5"": 1546.82140825908, ""6"": 1572.5743242060394, ""7"": 1595.8578582999176, ""8"": 1602.4686075295303, ""9"": 1643.743937930387, ""10"": 1657.886303502956, ""11"": 1670.2505695983104, ""12"": 1693.4584047845094, ""13"": 1700.1852335585381, ""14"": 1731.8388565123657, ""15"": 1761.6898672453685}",1.0646250247955322
prinz1d,short,tica,250,10,1,7,4,4,0.008,3,0.7946064753171621,0.7764357274979565,0,3,0.7946064753171621,0.7764357274979565,0,2,0.4344671165856644,0.6151149431509033,0,3,0.7946064753171621,0.7764357274979565,0,3,0.7946064753171621,0.7764357274979565,0,0.5768444627693324,0.6757787369712742,0.10400000000000001,"{""1"": 1469.9184591900414, ""2"": 1294.6102359064785, ""3"": 1260.7179868995274, ""4"": 1290.052098321279, ""5"": 1321.0390922552792, ""6"": 1347.9498722802277, ""7"": 1379.0552288331214, ""8"": 1400.5508651900586, ""9"": 1434.8790727237347, ""10"": 1434.511320507935, ""11"": 1472.627944826981, ""12"": 1497.4849615475716, ""13"": 1516.6957671164425, ""14"": 1536.4647873663582, ""15"": 1540.9501247012172}",0.9237275123596191
prinz1d,short,tica,250,10,1,8,4,4,0.048,3,0.6969810347430381,0.7393430487690626,0,3,0.6969810347430381,0.7393430487690626,0,2,0.4263452979514459,0.6226514079765969,0,2,0.4263452979514459,0.6226514079765969,0,3,0.6969810347430381,0.7393430487690626,0,0.7000553192892534,0.7060874254090153,0.256,"{""1"": 1459.3038008382962, ""2"": 1156.7548627647568, ""3"": 1141.641172051931, ""4"": 1170.2610503457945, ""5"": 1196.885738573509, ""6"": 1212.884554302959, ""7"": 1254.1473194997302, ""8"": 1283.626705060888, ""9"": 1299.143061746854, ""10"": 1309.4440459553525, ""11"": 1343.7343327019819, ""12"": 1355.9267618648475, ""13"": 1373.0675682097362, ""14"": 1396.4668979947303, ""15"": 1444.6425590977428}",0.8412144184112549
prinz1d,short,tica,250,10,1,9,4,4,0.132,3,0.5698153867480872,0.7223045476626219,0,8,0.36424660425749544,0.531381118745996,0,3,0.5698153867480872,0.7223045476626219,0,2,0.505474734396514,0.6392108435356454,0,3,0.5698153867480872,0.7223045476626219,0,0.46218215587801614,0.6090775069231165,0.43200000000000005,"{""1"": 1456.1609569862283, ""2"": 1006.6069484711415, ""3"": 976.5470389442893, ""4"": 999.631271044575, ""5"": 1017.9030700759122, ""6"": 1039.9404791702555, ""7"": 1049.7168247937698, ""8"": 1068.8480749950465, ""9"": 1097.823160702511, ""10"": 1127.519764233741, ""11"": 1146.0922056997601, ""12"": 1160.9859263886244, ""13"": 1183.5105764213213, ""14"": 1225.324161564003, ""15"": 1237.3895517128522}",0.8067624568939209
prinz1d,short,tica,250,10,1,10,4,4,0.092,3,0.8625523648798741,0.8055499829721194,0,5,0.5313081383633298,0.6557967656383508,0,3,0.8625523648798741,0.8055499829721194,0,3,0.8625523648798741,0.8055499829721194,0,3,0.8625523648798741,0.8055499829721194,0,0.5337929079489657,0.6871951658968655,0.184,"{""1"": 1466.9370396651254, ""2"": 1023.1102696213313, ""3"": 972.2053962233152, ""4"": 996.2760972591757, ""5"": 1014.1134087670991, ""6"": 1040.7255976195252, ""7"": 1066.5199146532104, ""8"": 1093.6664233596748, ""9"": 1116.7187743134486, ""10"": 1147.186888160083, ""11"": 1170.4929422279383, ""12"": 1183.5063669662031, ""13"": 1208.1069896079248, ""14"": 1233.6450700648136, ""15"": 1244.2024550490116}",1.1096127033233643
prinz1d,short,tica,250,10,1,11,4,2,0.0,1,0.0,0.0,0,1,0.0,0.0,0,1,0.0,0.0,0,8,0.006886011017917332,0.0322244913150144,0,2,0.017455035092302996,0.01785522242817377,0,0.04009027645360047,0.0368852948411288,0.5760000000000001,"{""1"": 1450.8610654791528, ""2"": 1473.7541602392132, ""3"": 1503.5253464845175, ""4"": 1535.243219767161, ""5"": 1556.775102860146, ""6"": 1588.1583204307622, ""7"": 1612.3904447979805, ""8"": 1632.5052195205967, ""9"": 1652.8423931542075, ""10"": 1682.488346782635, ""11"": 1701.9008828097856, ""12"": 1732.1138196877878, ""13"": 1731.2519248047527, ""14"": 1759.0863624795634, ""15"": 1758.8935954176804}",0.9379997253417969
prinz1d,short,tica,250,10,1,12,4,3,0.0,1,0.0,0.0,0,2,0.24965443409056767,0.20208626675136265,0,1,0.0,0.0,0,3,0.1987521655348291,0.19034048949992188,0,3,0.1987521655348291,0.19034048949992188,0,0.17730947841468206,0.21591345044344404,0.8720000000000001,"{""1"": 1439.4148744261342, ""2"": 1460.530113292324, ""3"": 1491.7272798624683, ""4"": 1508.4964684972579, ""5"": 1534.7462361885712, ""6"": 1564.6650366718163, ""7"": 1590.8374905381777, ""8"": 1621.4828647052436, ""9"": 1647.7457294761543, ""10"": 1659.1915095426884, ""11"": 1682.7814947016268, ""12"": 1709.1007434365513, ""13"": 1721.98321257406, ""14"": 1741.7958578710088, ""15"": 1740.0194333073437}",0.9833693504333496
prinz1d,short,tica,250,10,1,13,4,3,0.0,2,0.19547055795087773,0.3402697146942087,0,5,0.17363414288968604,0.25542649792887606,0,2,0.19547055795087773,0.3402697146942087,0,2,0.19547055795087773,0.3402697146942087,0,3,0.28366602960218645,0.31891566873943344,0,0.19044575453760837,0.25800564403384474,0.6080000000000001,"{""1"": 1491.6549046151345, ""2"": 1388.4609839430352, ""3"": 1399.4786159050984, ""4"": 1429.1547014319272, ""5"": 1431.0244399970027, ""6"": 1461.365927516778, ""7"": 1493.8259307139433, ""8"": 1522.4737142600989, ""9"": 1546.0196145108948, ""10"": 1561.5371755431706, ""11"": 1591.8807482491322, ""12"": 1617.7187574356167, ""13"": 1645.0151361352941, ""14"": 1639.254995207578, ""15"": 1689.4592579912342}",0.8314025402069092
prinz1d,short,tica,250,10,1,14,4,3,0.0,2,0.40639286539444164,0.6228093849788553,0,4,0.4247050102800982,0.5621196184480822,0,2,0.40639286539444164,0.6228093849788553,0,2,0.40639286539444164,0.6228093849788553,0,3,0.46417537636957873,0.5927021898738071,0,0.4247050102800982,0.5621196184480822,0.616,"{""1"": 1465.384566412951, ""2"": 1132.180692303456, ""3"": 1153.1201922857647, ""4"": 1168.449667805121, ""5"": 1193.3724771398909, ""6"": 1220.3476845746936, ""7"": 1247.4475303137976, ""8"": 1271.058076105807, ""9"": 1296.7442524206594, ""10"": 1312.4647896785045, ""11"": 1328.6613783215041, ""12"": 1375.6550536516556, ""13"": 1377.543739518448, ""14"": 1383.7278858894065, ""15"": 1417.405301904797}",0.9583382606506348
prinz1d,short,tica,250,10,1,15,4,4,0.012,2,0.06695750923219829,0.07292719262543224,0,12,0.0393240615914323,0.08978209079353533,0,1,0.0,0.0,0,2,0.06695750923219829,0.07292719262543224,0,2,0.06695750923219829,0.07292719262543224,0,0.028692821435990976,0.06881300546279895,0.7919999999999999,"{""1"": 1474.2787243226915, ""2"": 1468.699609187405, ""3"": 1496.8414667723544, ""4"": 1512.5774211825235, ""5"": 1523.6371730517099, ""6"": 1555.8458230032338, ""7"": 1575.0195674437414, ""8"": 1586.9165732813312, ""9"": 1609.5084432405674, ""10"": 1630.4206812087812, ""11"": 1651.391241846156, ""12"": 1664.5468591115307, ""13"": 1714.5043887355519, ""14"": 1726.349480879965, ""15"": 1758.270620487183}",1.2306723594665527
prinz1d,short,tica,250,10,1,16,4,4,0.092,2,0.4467303788952212,0.629705136428533,0,3,0.49315875068960285,0.5880259042787495,0,2,0.4467303788952212,0.629705136428533,0,3,0.49315875068960285,0.5880259042787495,0,3,0.49315875068960285,0.5880259042787495,0,0.47771538714099404,0.5638509504165613,0.632,"{""1"": 1445.7548975141156, ""2"": 987.9732080949706, ""3"": 1006.1622965951123, ""4"": 1037.173899902044, ""5"": 1053.3241871517698, ""6"": 1081.2748845278838, ""7"": 1100.9319395637717, ""8"": 1132.8127555703732, ""9"": 1152.8998452908982, ""10"": 1185.3497549721426, ""11"": 1214.4169111501276, ""12"": 1241.4989101653669, ""13"": 1248.8865826770564, ""14"": 1266.7308884703293, ""15"": 1286.7838349765975}",0.7983975410461426
prinz1d,short,tica,250,10,1,17,4,4,0.04,3,0.8072627219494638,0.7154386253522147,0,11,0.24228333750916672,0.44943248472938907,0,3,0.8072627219494638,0.7154386253522147,0,3,0.8072627219494638,0.7154386253522147,0,3,0.8072627219494638,0.7154386253522147,0,0.6902989090634096,0.624741709643289,0.08000000000000003,"{""1"": 1441.5914369826535, ""2"": 1307.207215001881, ""3"": 1261.755786506176, ""4"": 1284.8534532983144, ""5"": 1315.9118985700763, ""6"": 1330.2151398242272, ""7"": 1351.417103321442, ""8"": 1368.3501702968506, ""9"": 1392.342652612584, ""10"": 1416.9866487358468, ""11"": 1427.7136862377915, ""12"": 1468.4607680466381, ""13"": 1477.102121996352, ""14"": 1496.718170432802, ""15"": 1527.863066976688}",1.0620148181915283
