system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,tica,100,6,3,2,1,0.0,8,-0.008162395219463221,1,0.0,3,-0.0034862535862050107,3,-0.0034862535862050107,-0.0034862535862050107
alanine,short,tica,100,7,3,2,1,0.0,14,0.06229187941215646,1,0.0,6,0.1648810883624934,3,0.21736286787235046,0.21736286787235046
alanine,short,vae,100,0,3,2,1,0.0,1,0.0,1,0.0,3,0.13633784339550936,2,0.08289875921596836,0.13633784339550936
alanine,short,vae,100,1,3,2,1,0.0,1,0.0,1,0.0,2,0.9595977733884,2,0.9595977733884,0.5461150258581629
alanine,short,vae,100,2,3,2,1,0.0,1,0.0,1,0.0,5,0.2299602007107347,2,-0.011274194681086688,0.41376431003048525
alanine,short,vae,100,3,3,2,1,0.0,1,0.0,1,0.0,2,0.6137455600247202,2,0.6137455600247202,0.28252625665194525
alanine,short,vae,100,4,3,2,1,0.0,15,0.08999354076769314,1,0.0,3,0.39363920543690245,2,-0.00209920920201294,0.39363920543690245
alanine,short,vae,100,5,3,2,1,0.0,1,0.0,1,0.0,2,0.4075239609052084,2,0.4075239609052084,0.1839615649429722
alanine,short,vae,100,6,3,2,1,0.0,1,0.0,1,0.0,3,0.1836614325121322,2,0.23725729681274016,0.1836614325121322
alanine,short,vae,100,7,3,2,1,0.0,14,0.1664506297271429,1,0.0,3,0.2916236897670877,2,0.5429927016951992,0.2916236897670877
alanine,short,pca,250,0,3,2,3,0.4488172787959921,7,0.16079448305512625,3,0.4488172787959921,3,0.4488172787959921,3,0.4488172787959921,0.4488172787959921
alanine,short,pca,250,1,3,2,4,0.4741390938488568,9,0.27423324137547933,3,0.5754320181281384,3,0.5754320181281384,3,0.5754320181281384,0.5754320181281384
alanine,short,pca,250,2,3,2,4,0.5580327491163121,13,0.16437540488012542,3,0.683870333345382,3,0.683870333345382,2,0.8755989779767952,0.683870333345382
alanine,short,pca,250,3,3,2,4,0.5734592668784468,7,0.34855829672497035,3,0.6945877185036824,3,0.6945877185036824,2,0.8606260515464685,0.6945877185036824
alanine,short,pca,250,4,3,3,5,0.2879042199440324,13,0.13248620704753278,3,0.49703226167342907,3,0.49703226167342907,3,0.49703226167342907,0.49703226167342907
alanine,short,pca,250,5,3,2,4,0.47406792078137294,13,0.16385070791418643,3,0.5886804533483544,3,0.5886804533483544,2,0.8457826726316194,0.5886804533483544
alanine,short,pca,250,6,3,2,3,0.36676184186533717,6,0.2577112524932387,3,0.36676184186533717,3,0.36676184186533717,3,0.36676184186533717,0.36676184186533717
alanine,short,pca,250,7,3,2,5,0.2603038972338571,5,0.2603038972338571,3,0.4501103755802684,3,0.4501103755802684,3,0.4501103755802684,0.4501103755802684
alanine,short,tica,250,0,3,2,2,0.8820181505209967,2,0.8820181505209967,2,0.8820181505209967,2,0.8820181505209967,2,0.8820181505209967,0.40352201001091864
alanine,short,tica,250,1,3,2,2,0.9058755246065344,5,0.42309113878657284,2,0.9058755246065344,2,0.9058755246065344,2,0.9058755246065344,0.8564850357247398
alanine,short,tica,250,2,3,2,2,0.8906992835989627,4,0.5348072434311133,2,0.8906992835989627,2,0.8906992835989627,2,0.8906992835989627,0.6768122707562583
alanine,short,tica,250,3,3,2,2,0.8606252435789228,15,0.17240010158204,2,0.8606252435789228,3,0.6848225279255347,3,0.6848225279255347,0.6848225279255347
alanine,short,tica,250,4,3,3,2,0.9522275125039439,2,0.9522275125039439,2,0.9522275125039439,2,0.9522275125039439,2,0.9522275125039439,0.46328038560945056
alanine,short,tica,250,5,3,2,2,0.6776840770074991,15,0.14323467886109253,1,0.0,2,0.6776840770074991,2,0.6776840770074991,0.4973080659200339
alanine,short,tica,250,6,3,2,2,0.908672566938917,2,0.908672566938917,2,0.908672566938917,2,0.908672566938917,2,0.908672566938917,0.420508016419203
alanine,short,tica,250,7,3,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,0.9370156886872336
alanine,short,vae,250,0,3,2,1,0.0,1,0.0,1,0.0,6,0.1758559936019432,2,0.48487307570830385,0.3545170154338325
alanine,short,vae,250,1,3,2,1,0.0,4,0.4441527639143831,1,0.0,3,0.5091867606759191,3,0.5091867606759191,0.5091867606759191
alanine,short,vae,250,2,3,2,1,0.0,5,0.11563302491461197,1,0.0,6,0.2531447693237338,2,0.8020249810513839,0.4809791324379807
alanine,short,vae,250,3,3,2,1,0.0,1,0.0,1,0.0,4,0.31894915226937554,2,0.3970402298444816,0.30647860751359063
alanine,short,vae,250,4,3,3,1,0.0,1,0.0,1,0.0,3,0.37978663929507656,3,0.37978663929507656,0.37978663929507656
alanine,short,vae,250,5,3,2,1,0.0,2,0.9059265990715069,1,0.0,3,0.6706875884912391,2,0.9059265990715069,0.6706875884912391
alanine,short,vae,250,6,3,2,1,0.0,1,0.0,1,0.0,5,0.20304835100329166,2,0.05857693391114573,0.060036609845154444
alanine,short,vae,250,7,3,2,1,0.0,3,0.34569407915538686,1,0.0,2,0.22584763608605343,2,0.22584763608605343,0.34569407915538686
alanine,short,pca,500,0,3,2,5,0.3332049546960752,10,0.21672703380565472,3,0.5839131167068199,3,0.5839131167068199,2,0.8518302827924606,0.5839131167068199
alanine,short,pca,500,1,3,2,4,0.4770986532328707,7,0.2844997437257764,3,0.5867234347452325,3,0.5867234347452325,2,0.898422624230048,0.5867234347452325
alanine,short,pca,500,2,3,2,5,0.34015858543359057,8,0.2553263749228662,3,0.5656016004236217,3,0.5656016004236217,2,0.836832308309355,0.5656016004236217
alanine,short,pca,500,3,3,2,5,0.31988718642432123,6,0.3206338101375635,3,0.5207354325370963,3,0.5207354325370963,3,0.5207354325370963,0.5207354325370963
