potential,method,n_frames,dim,seed,k_true,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k,degenerate_embedding,runtime_s
prinz1d,pca,4000,5,6,4,13,0.3432157821965396,15,0.31474659412732425,9,0.46555248657249937,4,0.9617247712156144,2,0.4684407318421082,0.9617247712156144,False,5.840540409088135
prinz1d,pca,4000,5,7,4,12,0.4460911455520301,15,0.3720133346898179,10,0.49353749433541577,4,0.9674552878000232,2,0.49100998106738514,0.9674552878000232,False,5.807569742202759
prinz1d,pca,4000,5,8,4,13,0.3820182127656028,15,0.3511863283138031,8,0.5815728846610845,4,0.9559080636067888,2,0.4849931190181005,0.9559080636067888,False,6.077147483825684
prinz1d,pca,4000,5,9,4,12,0.4502930132265142,15,0.3693623279836889,10,0.5114808623391481,4,0.9408717537858563,2,0.515102882378776,0.9408717537858563,False,5.931320667266846
prinz1d,pca,8000,2,0,4,14,0.34982851882346216,15,0.3287599775585995,7,0.5626706146791327,4,0.8683547168876308,2,0.476061320199759,0.8683547168876308,False,14.361456394195557
prinz1d,pca,8000,2,1,4,14,0.3741508715781077,15,0.3507536212238388,7,0.5785790879591513,4,0.9028570082392968,2,0.5011415437881487,0.9028570082392968,False,14.617802858352661
prinz1d,pca,8000,2,2,4,14,0.364011004475579,14,0.364011004475579,6,0.686130703823743,4,0.8813921717158758,2,0.4946519169924327,0.8813921717158758,False,13.837959289550781
prinz1d,pca,8000,2,3,4,13,0.3835202665921473,15,0.34186867435797186,8,0.5709591453911158,4,0.9071993676613449,2,0.4810557523335113,0.9071993676613449,False,13.44975233078003
prinz1d,pca,8000,2,4,4,15,0.35258401979742066,15,0.35258401979742066,6,0.7067228781737613,4,0.9008832958630407,2,0.4868862346083211,0.9008832958630407,False,13.388981342315674
prinz1d,pca,8000,2,5,4,15,0.3589980705814126,15,0.3589980705814126,8,0.5851746583331628,4,0.9330261272801279,2,0.49734326239596327,0.9330261272801279,False,13.527647495269775
prinz1d,pca,8000,2,6,4,13,0.3724424067240833,15,0.3089128603250629,6,0.6991323572714893,4,0.8850976816029048,3,0.8058191405549965,0.8850976816029048,False,13.252383947372437
prinz1d,pca,8000,2,7,4,15,0.37701257396122656,15,0.37701257396122656,6,0.714745687572433,4,0.9280801604953427,2,0.4894353020785051,0.9280801604953427,False,13.564403295516968
prinz1d,pca,8000,2,8,4,14,0.3642528176748878,15,0.33961147197576386,8,0.5634890392549008,4,0.8847441258045823,2,0.48288780149359684,0.8847441258045823,False,13.69687294960022
prinz1d,pca,8000,2,9,4,15,0.35409588764290956,15,0.35409588764290956,6,0.7031291370924462,4,0.9232002647464782,2,0.5147600108460073,0.9232002647464782,False,13.113009214401245
prinz1d,pca,8000,3,0,4,15,0.33176720120382336,15,0.33176720120382336,10,0.4586684855091532,4,0.9172896889473543,2,0.4764102711065926,0.9172896889473543,False,14.132707357406616
prinz1d,pca,8000,3,1,4,15,0.35887758705868805,15,0.35887758705868805,9,0.5285909163615562,4,0.9252989022055432,2,0.5032520167381004,0.9252989022055432,False,13.806957006454468
prinz1d,pca,8000,3,2,4,15,0.37824521319360005,15,0.37824521319360005,11,0.4525827899636256,4,0.8976555669057076,2,0.49568973043787284,0.8976555669057076,False,13.926974773406982
prinz1d,pca,8000,3,3,4,15,0.35580822079927105,15,0.35580822079927105,10,0.4915692494860595,4,0.9345618145875354,2,0.4824733469438312,0.9345618145875354,False,13.966895341873169
prinz1d,pca,8000,3,4,4,15,0.35819727590781586,15,0.35819727590781586,9,0.5164588152241988,4,0.9320816005554303,2,0.4876113110280916,0.9320816005554303,False,13.556852102279663
prinz1d,pca,8000,3,5,4,15,0.3828236161860457,15,0.3828236161860457,10,0.50626438894503,4,0.9549640122565792,2,0.4983307956858723,0.9549640122565792,False,13.605858325958252
prinz1d,pca,8000,3,6,4,15,0.323886977500076,15,0.323886977500076,9,0.49337062263082787,4,0.9233206668211406,2,0.4680742853796618,0.9233206668211406,False,13.607610940933228
prinz1d,pca,8000,3,7,4,15,0.36718588132739655,15,0.36718588132739655,11,0.4779932864325189,4,0.9487534724706064,2,0.4904144729590135,0.9487534724706064,False,13.614884853363037
prinz1d,pca,8000,3,8,4,15,0.3445129447672634,15,0.3445129447672634,11,0.4441582898992073,4,0.9357640912024051,2,0.48460403829606413,0.9357640912024051,False,13.573388814926147
prinz1d,pca,8000,3,9,4,15,0.3709474607111686,15,0.3709474607111686,9,0.5480121929008931,4,0.9408979738394593,2,0.5166214247071331,0.9408979738394593,False,13.660348892211914
prinz1d,pca,8000,5,0,4,14,0.3540010260936733,15,0.3317946633207437,11,0.43085255383159476,4,0.9524661468138174,2,0.476173268237375,0.9524661468138174,False,14.296127319335938
prinz1d,pca,8000,5,1,4,14,0.3905705337517314,15,0.3612695295717993,11,0.4506165052068787,4,0.9475777418045036,2,0.5024596333829401,0.9475777418045036,False,14.332780361175537
prinz1d,pca,8000,5,2,4,14,0.38797895632585483,15,0.361431350889613,10,0.4794696339502976,4,0.9402196955315797,2,0.4951705695307727,0.9402196955315797,False,14.15636682510376
prinz1d,pca,8000,5,3,4,14,0.3697259919017422,15,0.36132932398039475,11,0.44874059663247906,4,0.9632153277988577,2,0.48223678534594505,0.9632153277988577,False,14.424754858016968
prinz1d,pca,8000,5,4,4,13,0.39567553899878716,15,0.35287866867330253,11,0.4491033960489729,4,0.9578682605888924,2,0.4876113110280916,0.9578682605888924,False,13.621637105941772
