potential,n_frames,lag,seed,n_usable_pairs,k_true,k_bic,ari_bic,ari_oracle_k,degenerate_embedding,runtime_s
prinz1d,4000,10,5,3990,4,4,0.7113706104426925,0.7113706104426925,False,5.944646596908569
prinz1d,4000,10,6,3990,4,4,0.46027068932096393,0.46027068932096393,False,6.913486003875732
prinz1d,4000,10,7,3990,4,4,0.5519509813069331,0.5519509813069331,False,6.716320514678955
prinz1d,4000,10,8,3990,4,5,0.4720475666850986,0.5419384789243398,False,6.429111480712891
prinz1d,4000,10,9,3990,4,4,0.6044514004708359,0.6044514004708359,False,6.835673093795776
prinz1d,4000,20,0,3980,4,6,0.3918000027190735,0.3470733747847522,False,4.734033584594727
prinz1d,4000,20,1,3980,4,4,0.48325747653935186,0.48325747653935186,False,5.717289686203003
prinz1d,4000,20,2,3980,4,5,0.3301710314863559,0.4051194808408196,False,5.120720148086548
prinz1d,4000,20,3,3980,4,4,0.4790094278549223,0.4790094278549223,False,5.981903314590454
prinz1d,4000,20,4,3980,4,4,0.48138836329750445,0.48138836329750445,False,6.076724052429199
prinz1d,4000,20,5,3980,4,5,0.5000552457857448,0.5723929378465357,False,5.7782042026519775
prinz1d,4000,20,6,3980,4,3,0.33725636667174397,0.3098970730557385,False,5.262299299240112
prinz1d,4000,20,7,3980,4,5,0.45382994311013436,0.38749617293051325,False,5.3513617515563965
prinz1d,4000,20,8,3980,4,4,0.3557676620664502,0.3557676620664502,False,5.136558771133423
prinz1d,4000,20,9,3980,4,7,0.33105673201931973,0.33712029946246536,False,5.0516297817230225
prinz1d,4000,50,0,3950,4,2,0.2161482010441381,0.1590370882461927,False,4.650586843490601
prinz1d,4000,50,1,3950,4,2,0.38260150662553755,0.29789398971389336,False,4.864948749542236
prinz1d,4000,50,2,3950,4,1,0.0,0.06993457072210524,False,5.042906045913696
prinz1d,4000,50,3,3950,4,2,0.336107519417154,0.2585601739584162,False,4.789011716842651
prinz1d,4000,50,4,3950,4,1,0.0,0.06156355042576627,False,4.845662593841553
prinz1d,4000,50,5,3950,4,2,0.43682887067635395,0.34131651253371414,False,4.831924200057983
prinz1d,4000,50,6,3950,4,3,0.2696471457114678,0.24912500143330601,False,5.00323224067688
prinz1d,4000,50,7,3950,4,2,0.4182568343029732,0.28626004017749185,False,4.908053874969482
prinz1d,4000,50,8,3950,4,1,0.0,0.0801393374289008,False,4.893212080001831
prinz1d,4000,50,9,3950,4,2,0.3318905376240519,0.22195494542767272,False,4.971281051635742
prinz1d,4000,100,0,3900,4,1,0.0,0.020195899373833474,False,4.924939870834351
prinz1d,4000,100,1,3900,4,1,0.0,0.09324199363702683,False,5.639930963516235
prinz1d,4000,100,2,3900,4,1,0.0,0.0165136839716508,False,5.300306081771851
prinz1d,4000,100,3,3900,4,1,0.0,0.09002458777098492,False,5.21084451675415
prinz1d,4000,100,4,3900,4,2,0.16566066317830336,0.11718355904678848,False,5.497474193572998
prinz1d,4000,100,5,3900,4,2,0.17827182982631312,0.1804801221289912,False,4.856222629547119
prinz1d,4000,100,6,3900,4,1,0.0,0.027416414270926327,False,4.914977788925171
prinz1d,4000,100,7,3900,4,2,0.14413507388320287,0.15840359344831645,False,5.0440356731414795
prinz1d,4000,100,8,3900,4,1,0.0,0.08045055016619482,False,5.251650094985962
prinz1d,4000,100,9,3900,4,1,0.0,0.09787800435505686,False,5.604175567626953
prinz1d,8000,5,0,7995,4,10,0.5210941847902694,0.711059076644752,False,11.355568647384644
prinz1d,8000,5,1,7995,4,9,0.5870337127321699,0.8327244347671977,False,11.568298101425171
prinz1d,8000,5,2,7995,4,11,0.523479373181279,0.8752476063997133,False,10.66665005683899
prinz1d,8000,5,3,7995,4,8,0.596037934256274,0.7678135668049404,False,10.504134893417358
prinz1d,8000,5,4,7995,4,8,0.6040671953558215,0.7742629093462983,False,10.63962435722351
prinz1d,8000,5,5,7995,4,9,0.6082907125808363,0.7895580447573687,False,11.133761882781982
prinz1d,8000,5,6,7995,4,9,0.5050590068938516,0.5949261965494334,False,11.152255058288574
prinz1d,8000,5,7,7995,4,9,0.5906225020663587,0.7876849336707366,False,10.846481800079346
prinz1d,8000,5,8,7995,4,9,0.5664439853755469,0.7059370514427751,False,11.47582721710205
prinz1d,8000,5,9,7995,4,10,0.5353171691649753,0.8366695378721202,False,13.676491260528564
prinz1d,8000,10,0,7990,4,9,0.48675453684550707,0.6211182715123441,False,11.39121127128601
prinz1d,8000,10,1,7990,4,8,0.5119167156032294,0.6682253568608512,False,11.499879121780396
prinz1d,8000,10,2,7990,4,7,0.5826531308048566,0.7133080976083478,False,11.057205438613892
prinz1d,8000,10,3,7990,4,8,0.4939039162309654,0.6260447683505689,False,11.929952144622803
prinz1d,8000,10,4,7990,4,8,0.5041203793713118,0.6534291415902642,False,10.989692449569702
prinz1d,8000,10,5,7990,4,9,0.5777482699135097,0.8024295473431806,False,10.931776523590088
prinz1d,8000,10,6,7990,4,8,0.5233858331948192,0.6433585757398401,False,11.930248975753784
prinz1d,8000,10,7,7990,4,8,0.5198152727254336,0.6878817398706099,False,11.325197219848633
prinz1d,8000,10,8,7990,4,9,0.49229337178644367,0.6576581646260127,False,11.997096538543701
prinz1d,8000,10,9,7990,4,8,0.5702600366353048,0.7950225576658134,False,11.640021800994873
prinz1d,8000,20,0,7980,4,4,0.5371635454206402,0.5371635454206402,False,14.385830640792847
prinz1d,8000,20,1,7980,4,4,0.5483644992034775,0.5483644992034775,False,14.950676202774048
prinz1d,8000,20,2,7980,4,4,0.6235000282030092,0.6235000282030092,False,15.284715175628662
prinz1d,8000,20,3,7980,4,7,0.48063139129327725,0.6042174212249437,False,15.23992133140564
prinz1d,8000,20,4,7980,4,6,0.5027476546958908,0.6050807041221188,False,15.3030424118042
prinz1d,8000,20,5,7980,4,7,0.6136993965001234,0.8142655108401262,False,13.052799940109253
prinz1d,8000,20,6,7980,4,5,0.44253984665081963,0.434193966231242,False,15.137491226196289
prinz1d,8000,20,7,7980,4,4,0.584633843534735,0.584633843534735,False,15.689655303955078
prinz1d,8000,20,8,7980,4,5,0.5045531491158212,0.5399697079648088,False,14.996779918670654
prinz1d,8000,20,9,7980,4,5,0.555144903129105,0.5898179312654137,False,17.048975467681885
prinz1d,8000,50,0,7950,4,5,0.39789438875777067,0.33457431350480793,False,12.043846130371094
prinz1d,8000,50,1,7950,4,7,0.34355786543479483,0.3944155652617997,False,12.453739881515503
prinz1d,8000,50,2,7950,4,4,0.5040719374720172,0.5040719374720172,False,14.401712417602539
prinz1d,8000,50,3,7950,4,4,0.4245334860418411,0.4245334860418411,False,14.283594369888306
prinz1d,8000,50,4,7950,4,4,0.7086500960995054,0.7086500960995054,False,11.507067203521729
prinz1d,8000,50,5,7950,4,5,0.5150784731387151,0.5616072946735778,False,14.841259241104126
prinz1d,8000,50,6,7950,4,5,0.3359909480375142,0.3272102734405996,False,15.225167989730835
prinz1d,8000,50,7,7950,4,4,0.49260941749440795,0.49260941749440795,False,12.67188811302185
prinz1d,8000,50,8,7950,4,2,0.477317580448028,0.32828990884999787,False,11.310453414916992
prinz1d,8000,50,9,7950,4,7,0.39108594627959004,0.3427053208685091,False,12.970070600509644
prinz1d,8000,100,0,7900,4,3,0.4042118628696701,0.31141987431737034,False,11.863215208053589
prinz1d,8000,100,1,7900,4,2,0.4746107249338222,0.3120332862064907,False,11.18293285369873
prinz1d,8000,100,2,7900,4,2,0.2925190937019089,0.19822146148068795,False,11.350556135177612
prinz1d,8000,100,3,7900,4,4,0.4057027959687892,0.4057027959687892,False,11.313005685806274
prinz1d,8000,100,4,7900,4,1,0.0,0.06983090864042925,False,10.932031631469727
prinz1d,8000,100,5,7900,4,6,0.431787407150259,0.38053713543903006,False,13.194331169128418
prinz1d,8000,100,6,7900,4,3,0.3844419867358768,0.40842239261349556,False,11.601293563842773
prinz1d,8000,100,7,7900,4,4,0.4582515089773047,0.4582515089773047,False,12.786220788955688
prinz1d,8000,100,8,7900,4,1,0.0,0.04145040679037704,False,11.536709308624268
prinz1d,8000,100,9,7900,4,2,0.4265770307514839,0.31675992728604496,False,12.303137302398682
prinz1d,16000,5,0,15995,4,12,0.46827349009036484,0.8022268707188089,False,48.50471639633179
prinz1d,16000,5,1,15995,4,14,0.4523205130877766,0.9195041607896506,False,48.36880660057068
prinz1d,16000,5,2,15995,4,13,0.4274769483318293,0.8659216229519905,False,46.216511964797974
prinz1d,16000,5,3,15995,4,12,0.47922152503607757,0.8925928517942742,False,47.54027771949768
prinz1d,16000,5,4,15995,4,13,0.4764326153184651,0.8875647568680659,False,47.477901458740234
prinz1d,16000,5,5,15995,4,13,0.42434143938055696,0.9089575251851949,False,45.11347961425781
prinz1d,16000,5,6,15995,4,13,0.4103828136705973,0.7608899840075725,False,45.82410025596619
prinz1d,16000,5,7,15995,4,13,0.46686903392437995,0.8710505122068334,False,45.37916588783264
prinz1d,16000,5,8,15995,4,12,0.43604248432405,0.8686496596506259,False,44.69322419166565
prinz1d,16000,5,9,15995,4,12,0.49674057040392305,0.9370917511867308,False,44.56833267211914
